Comment,Designator,Footprint,LCSC Part Number
100nF,C1,0603,C14663
220pF,C2,0603,C1603
1uF,C3,0603,C141744
680uF,C4,12.5x13.5mm,C98216
220uF,C5,6.3x7.7mm,C2887273
Zener,D1,SOD-123F,C485499
General purpose,"D2,D3",DO-214AC,C727081
Zener,"D4,D6",SOD-323,C22621
Schottky,D5,DO-214AC,C22452
33uH,L1,6.0x6.0mm,C83451
MOSFET,Q1,SOT-23-3,C8545
4K7,R1,0603,C269694
51,R2,0603,C23197
1K,R3,0603,C14676
100,"R4,R5",0603,C105588
Socket,U1,DIP-8,C72124
DC-DC Regulator,U2,TO-263,C347421
Pin Header,"J1,J2",HDR-TH,C2894933
D-Sub,J5,DB9-TH,C75750
Rotary encoder,SW1,TH,C411259
,,,
,,,
,,,
