Designator,Val,Package,Mid X,Mid Y,Rot,Side
C1,100nF,C_0603_1608Metric,149.593,-97.79,180,top
C2,220pF,C_0603_1608Metric,149.593,-99.568,0,top
C3,1uF,C_1206_3216Metric,149.401,-105.156,0,top
C4,680uF,12.5x13.5cp-AS,166.37,-121.138,270,top
C5,220uF,CP_Elec_6.3x7.7,140.97,-124.968,270,top
D1,D_Zener,D_SOD-123F,160.15,-89.916,0,top
D2,D,D_SMA,160.306,-98.044,0,top
D3,D,D_SMA,160.306,-93.98,0,top
D4,D_Zener,D_SOD-323,160.274,-84.582,180,top
D5,D_Schottky,D_SMA,160.306,-102.616,180,top
D6,D_Zener,D_SOD-323,160.274,-86.868,180,top
L1,33uH,L_Wuerth_HCI-5040,140.97,-115.298,270,top
Q1,2N7002,SOT-23,149.86,-109.22,0,top
R1,4k7,R_0603_1608Metric,149.543,-96.012,0,top
R2,51,R_0603_1608Metric,149.543,-103.124,180,top
R3,1k,R_0603_1608Metric,149.543,-101.346,180,top
R4,100,R_0603_1608Metric,148.145,-64.135,180,top
R5,100,R_0603_1608Metric,148.145,-62.23,180,top
U2,LM2596S-5,TO-263-5_TabPin3,152.4,-121.593,270,top
SW1,Rotary Encoder,TH,146.05,-76.2,0,top
